horizon,task_type,threshold_mode,label,count,ratio
1,binary,fixed,0,1218,0.4501
1,binary,fixed,1,1488,0.5499
1,three_class,fixed,-1,1048,0.3873
1,three_class,fixed,0,354,0.1308
1,three_class,fixed,1,1304,0.4819
1,three_class,volatility_adjusted,-1,659,0.2435
1,three_class,volatility_adjusted,0,1173,0.4335
1,three_class,volatility_adjusted,1,874,0.323
5,binary,fixed,0,1031,0.3816
5,binary,fixed,1,1671,0.6184
5,three_class,fixed,-1,843,0.312
5,three_class,fixed,0,402,0.1488
5,three_class,fixed,1,1457,0.5392
5,three_class,volatility_adjusted,-1,608,0.225
5,three_class,volatility_adjusted,0,1042,0.3856
5,three_class,volatility_adjusted,1,1052,0.3893
10,binary,fixed,0,935,0.3467
10,binary,fixed,1,1762,0.6533
10,three_class,fixed,-1,747,0.277
10,three_class,fixed,0,404,0.1498
10,three_class,fixed,1,1546,0.5732
10,three_class,volatility_adjusted,-1,532,0.1973
10,three_class,volatility_adjusted,0,1025,0.3801
10,three_class,volatility_adjusted,1,1140,0.4227
20,binary,fixed,0,831,0.3093
20,binary,fixed,1,1856,0.6907
20,three_class,fixed,-1,626,0.233
20,three_class,fixed,0,481,0.179
20,three_class,fixed,1,1580,0.588
20,three_class,volatility_adjusted,-1,514,0.1913
20,three_class,volatility_adjusted,0,861,0.3204
20,three_class,volatility_adjusted,1,1312,0.4883
